Mr. Chairman|| fdic, federal, loan
<|endoftext|>|| denied, electors, citizens
Mr. President|| pending, majority, previously
Mr. President|| house, well-being, north
Mr. President|| time, controlling, senate
Mr. President|| senate, holds, amendment
Mr. Speaker|| minutes, original, bishop
<|endoftext|>|| called, texas, state
Mr. President|| president, today, morning
Mr. President|| public, judge, district
Mr. Speaker|| offset, assumption, sake
<|endoftext|>|| rural, daschle, years
<|endoftext|>|| subject, true, byrd
Mr. President|| professor, university, weapons
Mr. Speaker|| political, controllers, unfavorably
Mr. Speaker|| washington, house, legislation
Mr. Speaker|| revise, days, extend
Mr. President|| senate, people, president
Mr. Speaker|| tax, paid, veterans
Mr. Chairman|| law, gentleman, clause
Mr. President|| 9:30, hearing, tuesday
Mr. Chair|| article, disputes, work
Mr. Speaker|| chair, present, quorum
<|endoftext|>|| thing, home, point
Mr. President|| year, farm, million
Mr. Speaker|| breaks, reform, american
<|endoftext|>|| bill, caucus, distinguished
Mr. President|| directors, president, lum
Mr. President|| grimes, service, intelligence
Mr. President|| security, cbo, krauthammer
Mr. Speaker|| speaker, plan, deficit
Mr. Speaker|| health, decision, glad
<|endoftext|>|| country, enticing, costs
Mr. President|| articles, impeachment, democrats
Madam Speaker|| law, benefiting, act
Mr. Speaker|| speaker, vote, past
<|endoftext|>|| suspend, speaker, rules
<|endoftext|>|| frustration, body, word
Madam Speaker|| madam, son, care
Mr. President|| senate, debating, town
Mr. Speaker|| contact, london, vice
Mr. Chairman|| republicans, year, military
Mr. Speaker|| tempore, previously, chair
Mr. President|| adm, north, life
Mr. President|| brown, berlin, sessions
Mr. President|| consent, consideration, res
Mr. President|| purpose, subcommittee, consideration
Mr. Chairman. I rise today in opposition of the rule for the VA/HUD Appropriations bill that shortchanges health care for our nation's veterans. The bill is $2.1 billion below the GOP House Budget Resolution and $3.3 billion below the veterans' consensus budget.  The Rules Committee created a rule for the VA/HUD bill that does not allow two amendments. The first seeks to add $1.8 billion for veterans' health care|| committee, budget, gop
Mr. President|| federal, los, talking
<|endoftext|>|| wife, kerry, fundamental
Mr. Chairman|| switzerland, york, mississippi
Mr. Speaker|| minnesota, bill, yield
<|endoftext|>|| amendment, chair, order
Mr. Chairman|| information, homeland, house
Madam Speaker|| speaker, pursuant, tempore
Mr. Chairman|| snyder, mchugh, mountain
Mr. Chairman|| amendment, law, tax
Mr. Speaker|| american, columbia, literally
Mr. Speaker|| restrictions, law, bill
Mr. Chairman|| boehlert, york, national
Madam Speaker|| georgia, back, house
Mr. Speaker|| endowment, public, education
Mr. Speaker|| reform, amendment, service
Mr. Speaker|| manner, power, address
Mr. President|| people, received, informed
Mr. President|| matter, handed, forces
Mr. President|| tina, award, girls
Mr. Speaker|| york, hamilton, person
Mr. President|| public, families, employees
Mr. Speaker|| peace, america, kosovo
Mr. President|| senators, printed, science
<|endoftext|>|| unanimous, senator, ashcroft
Mr. President|| accept, floor, ready
Mr. Speaker|| reform, reminded, thinking
<|endoftext|>|| amendment, record, relationship
Mr. President|| years, janet, neff
Mr. President|| funds, officers, officer
Mr. President|| georgia, nato, clear
Mr. Speaker|| rural, loans, agriculture
Mr. President|| netanyahu, agreement, threats
Mr. Chairman|| misconduct, veterans, rise
Mr. Speaker|| hostile, launched, speaker
Mr. President|| cost, question, legislation
Mr. President|| legal, rules, amendment
<|endoftext|>|| day, yield, motion
Mr. Speaker|| house, bill, marketplace
<|endoftext|>|| murder, prison, convicted
Mr. President|| people, eagle, scout
<|endoftext|>|| inspector, homeland, protection
Mr. Speaker|| community, thanksgiving, island
Mr. Speaker|| tonight, senator, john
Mr. Speaker|| talk, safety, based
Mr. Speaker|| resolution, recognition, unanimous
Madam Chairman|| consume, chairman, amendment
Mr. President|| hemisphere, strategy, drug
<|endoftext|>|| nation, question, contributions
Mr. Speaker|| bertie, wednesday, prime
Mr. President|| act, institute, ability
Mr. Chairman|| side, public, floor
Mr. President|| progress, consent, cornyn
Mr. Chairman|| lives, marine, coast
<|endoftext|>|| sustainable, make, people
<|endoftext|>|| point, medicare, washington
Mr. Speaker|| move, years, democrat
Mr. Chairman|| chairman, present, due
<|endoftext|>|| november, protecting, make
Mr. Speaker|| passed, unanimous, objection
Mr. Speaker|| prepared, colleague, speaker
Mr. President|| administration, time, nuclear
<|endoftext|>|| polluters, rid, american
Mr. President|| feinstein, time, chairman
<|endoftext|>|| senate, budget, president
<|endoftext|>|| federal, oil, american
Mr. President|| prescription, provide, increase
Madam Speaker|| bill, support, treatment
Mr. Chairman|| johnson, members, nation
Mr. Speaker|| taxpayer, ultimately, price
<|endoftext|>|| reserve, quigley, congress
<|endoftext|>|| time, housing, mississippi
Madam Speaker|| connecticut, gentleman, speaker
Mr. Speaker|| mint, francisco, lady
Mr. President|| defense, american, visit
<|endoftext|>|| submit, balanced, congress
<|endoftext|>|| resolution, relating, printed
Mr. President|| component, active, reserves
<|endoftext|>|| credit, unions, banking
Mr. Speaker|| couple, questions, percent
Mr. Speaker|| speaker, objection, clause
Madam President|| homes, scott, home
Mr. Speaker|| medical, nation, health
<|endoftext|>|| defraud, hook, standard
<|endoftext|>|| raising, gentleman, path
<|endoftext|>|| read, texas, remember
Mr. Chairman|| confusion, time, object
Mr. President|| family, memory, loved
Mr. President|| lawton, chiles, teacher
<|endoftext|>|| words, veterans, america
<|endoftext|>|| district, people, absolutely
Mr. Chairman|| report, soldiers, gentleman
Mr. Chairman|| medicaid, problem, fiscal
Mr. President|| budget, defense, dakota
Mr. President|| single-sex, option, assurances
Mr. Speaker|| rise, life, lives
Mr. President and all of my colleagues here|| services, lot, colleagues
<|endoftext|>|| complex, parliamentarian, aimed
Mr. Speaker|| america, rangel, speaker
Mr. Chairman|| authorization, accurate, chairman
Mr. President|| resolution, carving, lakota
<|endoftext|>|| discussions, september, agreement
Mr. President|| judges, senate, president
Mr. Speaker|| republican, employer, rise
Madam Speaker|| journeyed, catherine, leadership
Mr. President|| families, trump, public
Mr. Chairman|| chairman, task, respect
<|endoftext|>|| states, tent, nuclear
<|endoftext|>|| rationing, nice, ultimately
Mr. Speaker|| rule, bill, ensure
Mr. Speaker|| committees, speaker, change
Mr. Chairman|| small, years, families
Mr. President|| realize, term, rhode
Madam President|| legislation, act, loophole
Mr. Speaker|| air, undermine, jobs
Mr. Speaker|| bills, important, budget
Mr. Speaker|| congress, national, development
Mr. Chairman|| low-yield, russia, nonproliferation
Mr. Chairman|| recognized, chairman, report
Madam President|| war, carolina, people
Mr. President|| epa, amendment, mitigation
<|endoftext|>|| oil, work, burning
<|endoftext|>|| program, sba, lenders
Madam Speaker|| administration, speaker, iran
Mr. President|| study, treasury, finance
Mr. President|| hours, domenici, error
<|endoftext|>|| share, discriminate, care
<|endoftext|>|| nuclear, assist, committee
Mr. President|| bill, time, motions
Mr. President|| armenians, empire, stand
Mr. Chairman|| gentleman, big, arkansas
Mr. Speaker|| time, waste, relief
Mr. Speaker|| front, rome, house
Mr. Speaker|| people, burton, speaker
<|endoftext|>|| house, resolution, amendment
Mr. President|| chairman, supplemental, funds
Mr. President|| power, drafted, deliberately
Mr. Chairman|| greater, today, line-item
Mr. Chairman|| executive, office, government
Mr. Speaker and my colleagues|| coverage, nethercutt, achievement
Mr. President|| united, data, treaty
Mr. Speaker|| free, comments, morning
Mr. Speaker|| forget, actual, uninsured
<|endoftext|>|| make, bill, request
Mr. Speaker|| opportunity, esteemed, speaker
Mr. President|| bill, goals, senator
Mr. Chairman|| remarks, servicewomen, support
Mr. Chairman|| targeted, chairman, ney
Mr. Chairman|| columbia, firearms, active
Mr. President|| association, clean, years
<|endoftext|>|| america, strongly, answer
Madam President|| trump, judge, president
Mr. Speaker|| regan, bill, gentleman
Mr. Chairman|| farm, gentleman, happy
Mr. Chairman|| america, legislation, issues
Mr. Speaker|| river, bill, sun
Mr. President|| entitled, june, start
Mr. President|| coverage, mark, business
Mr. Speaker|| congratulate, champion, month
Mr. Speaker|| federal, state, law
Mr. Speaker|| rise, passage, hour
Mr. President|| passed, president, point
Madam Speaker|| madam, important, earmarks
Mr. President|| work, house, manufacturers
<|endoftext|>|| voted, gave, muqtada
Mr. Speaker|| consideration, unanimous, objection
Mr. President|| service, medal, division
Mr. Chairman|| local, understand, aisle
<|endoftext|>|| legislature, years, assembly
Mr. Speaker|| make, time, joyce
Mr. Chairman|| criminals, full, pork
Mr. Chairman|| understand, amendment, committee
Mr. President|| start, session, importance
Mr. Chairman|| minority, policy, response
Mr. Speaker|| speaker, deserves, considered
Mr. President|| america, voting, legislation
Mr. President|| senator, amendment, senate
Mr. Speaker|| speaker, time, member
Mr. Speaker|| national, crisis, aisle
Mr. President|| president, schools, communities
Mr. Speaker|| arizona, ruins, view
Mr. President|| call, roll, tempore
Mr. Speaker|| unanimous, extend, tempore
<|endoftext|>|| virginia, west, resolution
Mr. Speaker|| yield, agencies, pro
Mr. President|| reserving, number, figured
Mr. President|| judge, support, record
Mr. Speaker|| border, budget, fault
<|endoftext|>|| people, day, american
Madam Speaker|| speak, protection, madam
Mr. Speaker|| respond, time, citizens
<|endoftext|>|| corporate, federal, working
<|endoftext|>|| nation, vulnerable, adds
<|endoftext|>|| health, age, attained
Mr. Speaker|| baghdad, shiite, study
<|endoftext|>|| fellowship, natural, albert
<|endoftext|>|| rules, reclaiming, struggled
Mr. Speaker|| effects, enjoy, union
Mr. President|| order, 7:56, adjourned
Mr. Chairman|| california, operating, current
<|endoftext|>|| human, conference, harry
<|endoftext|>|| decorum, time, gentleman
<|endoftext|>|| estimate, death, administration
<|endoftext|>|| military, management, confirmation
Mr. President|| shut, today, federal
Madam Speaker|| lame, listen, speaker
<|endoftext|>|| put, programs, area
Mr. Speaker|| people, past, days
<|endoftext|>|| pending, acts, purposes
<|endoftext|>|| ripped, defense, cola
Mr. Speaker|| simply, wrong, public
Mr. President|| time, votes, energy
Mr. Chairman|| agree, chairman, government
Mr. President|| july, unanimous, worksheets
Mr. Chairman|| amendment, support, society
Mr. President|| provision, signals, senate
<|endoftext|>|| handled, today, assured
Mr. Speaker|| february, yielding, oklahoma
Mr. Chairman|| related, maryland, time
Madam Speaker|| money, give, billion
Mr. President|| employer, companies, health
Madam President|| permitted, proceed, legislative
<|endoftext|>|| modifications, constitution, materially
<|endoftext|>|| justice, reserving, version
Madam Chair|| north, carolina, colleague
Mr. Chairman|| armed, today, girls
Mr. President|| bill, making, contained
Madam President|| protocol, amendment, montreal
Mr. Chairman|| atoms, school, microchip
Mr. Chairman|| friend, complements, clearance
Mr. President|| transition, ago, twenty
Mr. Speaker|| killed, star, soldier
Mr. Speaker|| yielding, years, united
Mr. President|| president, virginia, business
Madam President|| senate, president, legislation
Mr. Speaker|| science, due, moments
Mr. Speaker|| members, agreement, consume
Mr. Speaker|| balance, suspend, district
Madam Speaker|| madam, consent, members
<|endoftext|>|| days, ambiguity, weeks
Mr. Speaker|| increase, scores, increased
<|endoftext|>|| murkowski, percent, epa
<|endoftext|>|| snowflake, hannah, earlier
Mr. Speaker|| legislation, enhanced, number
Mr. Speaker|| clinton, enforce, ambassador
Mr. President|| amendment, reform, cut
Mr. President|| research, states, work
Mr. Speaker|| bill, pro, florida
Mr. President|| president, session, committee
Madam President|| requirements, program, army
Mr. Chairman|| agency, amendment, business
Mr. President|| professional, fine, landrieu
Mr. Chairman|| opposition, earmark, process
Mr. President|| president, kits, sciences
Madam Speaker|| congress, virus, madam
Mr. Chairman|| amendment, sensitive, rise
Madam President|| ago, harvard, disaster
Mr. Chairman|| separate, yield, block
Mr. Speaker|| county, united, army
Mr. Speaker|| friday, motion, previous
Mr. Chairman|| respect, hundreds, victims
Mr. Speaker|| programs, years, question
Madam Speaker|| recovery, american, americans
Mr. President|| firefighters, nation, shots
Mr. President|| science, recognize, teachers
Madam Speaker|| county, america, georgia
Mr. Speaker|| ayes, present, pro
<|endoftext|>|| president, floor, alaska
Mr. Chairman|| national, economy, michigan
Mr. Chairman|| proceedings, demand, house
Mr. President|| secretary, germany, title
Madam President|| dieter, strickland, robert
Mr. Speaker|| question, aware, speaker
Mr. Speaker|| announcement, grounds, clause
<|endoftext|>|| dredging, regional, major
Mr. President|| voted, order, chair
Mr. President|| objection, comment, items
<|endoftext|>|| senior, visit, people
Mr. President|| secretary, record, reprinting
Mr. Speaker|| reforms, tax, includes
Mr. President|| amendment, president, sends
<|endoftext|>|| deficit, recommendations, republican
Mr. Speaker|| consideration, republicans, speaker
Mr. President|| provision, provisions, law
Mr. Speaker|| security, obama, national
Mr. President|| president, south, settler
<|endoftext|>|| baselines, confusing, ronald
Mr. Speaker|| congress, champion, henry
Mr. Speaker|| committee, unanimous, concurrent
<|endoftext|>|| engel, control, hurting
<|endoftext|>|| air, water, clean
<|endoftext|>|| open, finance, committee
Mr. Speaker|| upgrade, legislation, foreign
Mr. Speaker|| vietnam, real, service
<|endoftext|>|| mep, number, important
<|endoftext|>|| office, heard, campaign
Mr. President|| prison, prisons, administration
Mr. Speaker|| agriculture, providing, national
Mr. Chairman|| bilbray, streets, deport
Madam Speaker|| sentiment, states, today
Mr. Speaker|| day, united, rise
Madam President|| arrange, spirit, amendment
Madam President|| reform, legislation, week
Mr. Chairman|| pcc, wetlands, corps
Mr. President|| american, logan, president
Mr. Chairman|| chairman, railroads, communities
<|endoftext|>|| treaty, trade, security
Mr. Speaker|| transportation, speaker, department
Madam Speaker|| years, progress, america
Mr. Speaker|| people, perspective, iron
Mr. Chairman|| service, amendment, debate
Mr. Speaker|| speaker, previous, wednesday
Madam President|| democrats, committee, education
Mr. Chairman|| bill, research, development
Mr. President|| lobbyist, ethics, house
Mr. President|| roosevelt, officer, adm
<|endoftext|>|| treatment, prevention, focus
Mr. Speaker|| speaker, one-third, motion
<|endoftext|>|| department, courts, lawyer
Mr. President|| iowa, student, education
Madam President|| senator, amendment, ago
Mr. Speaker|| school, house, kline
Mr. Speaker|| women, employees, warfare
<|endoftext|>|| side, senator, senators
Mr. Speaker|| richard, ordained, years
<|endoftext|>|| extended, extend, hour
Madam President|| second-degree, president, vote
Mr. Speaker|| national, florida, disease
<|endoftext|>|| federal, texas, blm
<|endoftext|>|| inflation, stand, colleague
Mr. Speaker|| cases, evidence, death
Mr. Speaker|| majority, civil, district
<|endoftext|>|| pass, members, working
Mr. Speaker|| celebrate, bonds, president
Mr. Speaker|| yield, south, house
Mr. Speaker|| disease, day, significant
Mr. President|| security, power, public
<|endoftext|>|| time, recognized, amendment
Mr. Chairman|| year, spratt, area
Mr. Speaker|| federal, census, act
Mr. President|| judge, district, session
<|endoftext|>|| return, nonexistent, joaquin
Mr. Speaker|| total, minority, maximum
Mr. Speaker|| wade, life, make
Mr. Chairman|| states, clean, amendment
Mr. Speaker|| request, revise, material
Mr. President|| governors, fund, trust
Mr. Speaker|| president, year, project
<|endoftext|>|| concur, mission, priority
Mr. President|| policy, infrastructure, system
Mr. Speaker|| deported, empire, exterminated
Mr. Speaker|| bill, passed, remarks
Mr. President|| labor, consent, arts
<|endoftext|>|| senators, stake, debates
Madam President|| president, 5:30, minutes
Mr. President|| trapped, cayman, company
<|endoftext|>|| minutes, detracting, bumpers
Mr. President|| affairs, unanimous, meet
Mr. Chairman|| years, problem, troops
Mr. President|| members, april, commission
<|endoftext|>|| dictionary, senior, kind
Mr. President|| earmarking, missouri, easy
Mr. Speaker|| yield, continue, balance
Madam Speaker|| today, back, justice
Mr. Speaker|| current, vice, superfund
Mr. Chairman|| education, concerns, administration
Mr. President|| objection, order, 9:45
Mr. Speaker|| support, speaker, rise
<|endoftext|>|| gunderson, wisconsin, education
<|endoftext|>|| pages, american, recall
Mr. President|| united, saturday, president
Mr. Chairman|| colombia, funding, government
Mr. President|| visa, immigration, reading
Mr. Speaker|| agreed, speaker, tempore
Mr. President|| establish, today, trust
Mr. President|| month, speak, nebraska
Madam Speaker|| neighborhoods, congress, states
Madam President|| staff, dakota, brenna
<|endoftext|>|| thompson, country, program
Mr. Speaker|| issues, fees, back
Mr. President|| judiciary, president, committee
Mr. Chairman|| regulations, regulatory, strike
Mr. Chairman|| step, time, property
Madam Speaker|| nation, year, worked
<|endoftext|>|| hope, world, day
Mr. President|| authorized, minority, senate
Mr. President|| community, nomination, office
Mr. President|| significant, measure, admiral
<|endoftext|>|| costly, district, flagship
Mr. President|| fully, state, president
Mr. Speaker|| rise, squad, speaker
Madam President|| united, cbo, dedicated
Mr. Speaker|| consent, extend, pro
Mr. President|| amendments, exists, prisons
Mr. Speaker|| months, speaker, challenges
Mr. President|| noon, saturday, 7:36
Mr. Speaker|| president, conferees, environment
Mr. President|| clinton, bankrupt, republicans
Mr. President|| transit, port, ports
Madam Speaker|| georgia, friends, house
Mr. President|| reading, asked, bill
Mr. Chairman|| outstanding, secretary, majority
Mr. President|| period, morning, amendment
Mr. Speaker|| maryland, revise, order
Mr. Speaker|| person, gentleman, cry
Madam Speaker|| decisions, time, leadership
Madam President|| utah, amendment, senator
<|endoftext|>|| defense, united, china
Mr. President|| money, carolina, supreme
Mr. Chairman|| objection, request, nebraska
<|endoftext|>|| brought, situation, comments
Mr. Chairman|| kind, food, individuals
Mr. President|| president, consumer, speed
Mr. President|| salazar, o'clock, submitted
Mr. President|| coast, benefit, version
Mr. Chairman|| perkins, important, district
Mr. President|| support, national, president
Mr. President|| effective, bayh, amendment
Mr. Speaker|| pro, cut, back
Mr. President|| growth, industry, workforce
Mr. President|| constitution, committee, president
Mr. Speaker|| transparency, bills, americans
Mr. President|| business, leader, unanimous
Mr. President|| amendment, city, monte
Madam Speaker|| back, gag, commitment
Mr. President|| briefly, faa, proceed
Mr. President|| congress, dime, ran
<|endoftext|>|| adjourn, unanimous, senate
Madam President|| students, doubling, student
Mr. President|| recreation, preservation, subcommittee
Madam President|| made, disaster, senators
Madam Speaker. I was not present during rollcall vote No. 985 on December 16|| speaker, room, briefing
Mr. President|| washington, agenda, congress
<|endoftext|>|| eligibility, question, utah
Mr. President|| advanced, critical, technologies
Mr. President|| purpose, conducting, hearing
Mr. Chairman|| back, noes, adoption
Mr. President|| recovery, force, coast
Mr. Speaker|| maine, financial, higher
Mr. Speaker|| meeting, rate, reaching
Mr. Chairman|| information, chairman, traffic
Mr. Speaker|| gentleman, speaker, school
Mr. Speaker|| benefit, fund, funding
Mr. Speaker|| pursuant, ayes, rule
Mr. Speaker|| american, congress, concerned
Mr. President|| care, misrepresentations, ease
<|endoftext|>|| thoughtful, kind, minutes
Mr. Chairman|| power, bill, committee
Mr. President|| president, wars, continuing
Mr. Speaker|| speaker, committee, administration
Mr. Chairman|| national, issue, gentleman
Madam Speaker|| texas, national, matts
Mr. President|| issue, conference, personally
Mr. Speaker|| continuing, requests, today
Mr. President|| president, senate, sentencing
<|endoftext|>|| dollars, account, committee
Mr. Speaker|| people, debate, number
<|endoftext|>|| connecticut, cut, comments
Mr. Speaker|| goldman, illegal, yesterday
Mr. President|| budget, raise, bradley
Mr. Speaker|| desert, supervisor, district
Madam Speaker|| violence, domestic, victims
Mr. Speaker|| speaker, house, matter
Mr. Speaker|| points, read, bills
Mr. President|| horse, soring, humane
<|endoftext|>|| chairman, companies, brown
Mr. President|| printed, agreed, table
Mr. Chairman|| corners, area, chairman
Mr. Speaker|| house, president, agreement
Madam President|| helen, blue, dudman
<|endoftext|>|| blumenauer, environment, house
Mr. President|| brought, president, regulations
Mr. Chairman|| chairman, wanted, spent
Mr. President|| percent, high, states
Mr. Speaker|| consent, request, unanimous
<|endoftext|>|| big, dumb, sniff
Mr. Speaker|| order, tempore, concern
Mr. President|| place, side, president
Mr. Speaker|| resources, committees, intelligence
Mr. Speaker|| body, current, universities
Mr. Speaker|| speaker, bill, reform
Mr. President|| army, good, men
Mr. Speaker|| chemical, measure, speaker
Mr. Chairman|| relates, messrs, yielding
Mr. Speaker|| united, congress, bill
Madam Speaker|| madam, president, united
Madam President|| disaster, find, president
Madam Speaker|| catcher, kansas, greatly
Mr. Chairman|| bill, missions, incompetent
Mr. Speaker|| eradicate, speaker, tragedy
Mr. Speaker|| congresswoman, nursing, hurricane
<|endoftext|>|| administration, hear, people
Mr. President|| senate, waning, significant
<|endoftext|>|| holliday, gates, indiana
Mr. Chairman|| good, chairman, energy
<|endoftext|>|| areas, lands, blm
<|endoftext|>|| essentially, impermissible, trade
Mr. Speaker|| support, act, chairman
Mr. Chairman|| district, floor, country
Mr. Chairman|| forward, line, working
<|endoftext|>|| today, houston, brought
Mr. President|| financial, west, programs
Mr. President|| stacked, pending, relation
Mr. President|| mrs., katherine, president
Mr. Speaker|| senior, bureau, consumer
Mr. President|| back, funds, senate
Mr. Chairman|| dollars, today, veterans
Mr. Speaker|| house, frankly, serve
Mr. Speaker|| objection, subject, days
<|endoftext|>|| earmarks, earmark, illinois
Mr. Chairman|| secretary, committee, carryover
Mr. Chairman|| subcommittee, north, trademark
<|endoftext|>|| special, teaching, teachers
Mr. Speaker|| list, congress, secretary
Mr. President|| students, country, mexico
Mr. Speaker|| railroad, private, loans
Mr. President|| rules, routine, applicability
Mr. Speaker|| motion, time, drake
<|endoftext|>|| time, additional, business
Mr. President|| science, united, concerns
Mr. Speaker|| country, coming, people
Mr. Speaker|| time, speaker, international
Mr. President|| courts, people, united
Mr. Speaker|| norwood, work, drugs
<|endoftext|>|| ignore, waiting, asked
<|endoftext|>|| defense, chairman, consideration
<|endoftext|>|| intervening, work, judgment
<|endoftext|>|| asked, staff, money
Mr. President|| remarks, leader, chooses
Mr. President|| civil, americans, legislation
Mr. Chairman|| deficit, america, government
Mr. Speaker|| great, agreements, member
<|endoftext|>|| increasingly, banks, states
Mr. Speaker|| cannon, army, united
Mr. President|| back, senators, agreeable
Mr. President|| long, reserving, lot
Mr. President|| act, set, ensures
Mr. Speaker|| vote, government, elections
Mr. Speaker|| back, people, res
Mr. President|| putin, american, americans
Mr. President|| work, verification, jobs
Mr. Chairman|| consume, family, proposal
Mr. Speaker|| honor, bringing, america
Mr. Speaker|| working, legislation, tonight
Mr. Chairman|| friend, committee, california
<|endoftext|>|| pleased, creation, sponsor
Mr. Chairman|| listen, today, district
<|endoftext|>|| medicare, industry, approval
Madam Chair|| bill, codify, amendment
Mr. Chairman|| amendment, michigan, percent
<|endoftext|>|| project, government, sacramento
Mr. Speaker|| bill, cohen, thanked
Mr. Speaker|| house, speaker, bill
<|endoftext|>|| half, supplemental, consent
Mr. Speaker|| legislative, resolution, remarks
<|endoftext|>|| record, amended, passed
<|endoftext|>|| leahy, division, bloc
Mr. President|| act, rise, president
<|endoftext|>|| subcommittee, gentleman, appropriations
Mr. Speaker|| time, inquire, speaker
Mr. President|| made, durbin, minutes
<|endoftext|>|| base, pages, virginia
Mr. Chairman|| plan, house, members
